author_name,city_birth,city_residence,country,year_birth,year_death,work1,work2
Walter Benjamin,"Berlin, Germany","Portbou, Spain",Germany,1892,1940,Illuminations,The Arcades Project
Jenny Erpenbeck,"East Berlin, East Germany","Berlin, Germany",Germany,1967,,Visitation,"Go, Went, Gone"
W.G. Sebald,"Wertach, Germany","Norwich, England",Germany,1944,2001,The Emigrants,Austerlitz
Patrick Süskind,"Ambach, Germany","Munich, Germany",Germany,1949,,Perfume,The Pigeon
Clemens Meyer,"Halle, East Germany","Leipzig, Germany",Germany,1977,,All the Lights,Bricks and Mortar
Carlos Ruiz Zafón,"Barcelona, Spain","Los Angeles, USA",Spain,1964,2020,The Shadow of the Wind,The Angel's Game
Javier Marías,"Madrid, Spain","Madrid, Spain",Spain,1951,,A Heart So White,Tomorrow in the Battle Think on Me
Camilo José Cela,"Iria Flavia, Spain","Madrid, Spain",Spain,1916,2002,The Family of Pascual Duarte,The Hive
Miguel de Cervantes,"Alcalá de Henares, Spain","Madrid, Spain",Spain,1547,1616,Don Quixote,The Ingenious Gentleman Don Quixote of La Mancha
José Saramago,"Azinhaga, Portugal","Lanzarote, Spain",Portugal,1922,2010,Blindness,The Gospel According to Jesus Christ
Fernando Pessoa,"Lisbon, Portugal","Lisbon, Portugal",Portugal,1888,1935,The Book of Disquiet,Message
António Lobo Antunes,"Lisbon, Portugal","Lisbon, Portugal",Portugal,1942,,An Explanation of the Birds,The Land at the End of the World
Olga Tokarczuk,"Sulechów, Poland","Wrocław, Poland",Poland,1962,,Flights,Drive Your Plow Over the Bones of the Dead
Isaac Bashevis Singer,"Leoncin, Poland","Miami, USA",Poland,1902,1991,The Slave,The Family Moskat
Czesław Miłosz,"Šeteniai, Lithuania","Kraków, Poland",Poland,1911,2004,The Captive Mind,The Issa Valley
Stanisław Lem,"Lviv, Poland (then Lwów, Poland)","Kraków, Poland",Poland,1921,2006,Solaris,The Cyberiad
Pär Lagerkvist,"Växjö, Sweden","Stockholm, Sweden",Sweden,1891,1974,Barabbas,The Dwarf
Eyvind Johnson,"Svartbjörnsbyn, Sweden","Stockholm, Sweden",Sweden,1900,1976,The Days of His Grace,The Commander's Daughter
Tomas Tranströmer,"Stockholm, Sweden","Stockholm, Sweden",Sweden,1931,2015,Baltics,Bells in the Distance
Stieg Larsson,"Skelleftehamn, Sweden","Stockholm, Sweden",Sweden,1954,2004,The Girl with the Dragon Tattoo,The Girl Who Played with Fire
Henning Mankell,"Stockholm, Sweden","Göteborg, Sweden",Sweden,1948,2015,Faceless Killers,The Dogs of Riga
Jonas Jonasson,"Växjö, Sweden","Gotland, Sweden",Sweden,1961,,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,The Girl Who Saved the King of Sweden
Søren Kierkegaard,"Copenhagen, Denmark","Copenhagen, Denmark",Denmark,1813,1855,Fear and Trembling,Either/Or
Hans Christian Andersen,"Odense, Denmark","Copenhagen, Denmark",Denmark,1805,1875,The Little Mermaid,The Emperor's New Clothes
Henrik Pontoppidan,"Fredericia, Denmark","Copenhagen, Denmark",Denmark,1857,1943,Lucky Per,The Kingdom of the Dead
Tove Ditlevsen,"Copenhagen, Denmark","Copenhagen, Denmark",Denmark,1917,1976,The Copenhagen Trilogy,The Faces
Peter Høeg,"Copenhagen, Denmark","Copenhagen, Denmark",Denmark,1957,,Miss Smilla's Feeling for Snow,Borderliners
Karl Ove Knausgård,"Oslo, Norway","London, England",Norway,1968,,My Struggle,A Death in the Family
Knut Hamsun,"Lom, Norway","Grimstad, Norway",Norway,1859,1952,Hunger,Growth of the Soil
Jon Fosse,"Haugesund, Norway","Bergen, Norway",Norway,1959,,Morning and Evening,Trilogy
Sigrid Undset,"Kalundborg, Denmark","Lillehammer, Norway",Norway,1882,1949,Kristin Lavransdatter,The Master of Hestviken
Henrik Ibsen,"Skien, Norway","Christiania (now Oslo), Norway",Norway,1828,1906,A Doll's House,Hedda Gabler
Jo Nesbø,"Oslo, Norway","Oslo, Norway",Norway,1960,,The Snowman,The Redbreast
Tove Jansson,"Helsinki, Finland","Helsinki, Finland",Finland,1914,2001,The Summer Book,Comet in Moominland
Frans Eemil Sillanpää,"Kallio, Finland","Helsinki, Finland",Finland,1888,1964,Meek Heritage,The Maid Silja
Halldór Laxness,"Reykjavik, Iceland","Mosfellsbær, Iceland",Iceland,1902,1998,Independent People,World Light
Jón Kalman Stefánsson,"Reykjavik, Iceland","Reykjavik, Iceland",Iceland,1963,,Heaven and Hell,"Summer Light, and Then Comes the Night"
Elena Ferrante,"Naples, Italy",-,Italy,-,,My Brilliant Friend,The Days of Abandonment
Alberto Moravia,"Rome, Italy","Rome, Italy",Italy,1907,1990,The Conformist,The Woman of Rome
Luigi Pirandello,"Agrigento, Italy","Rome, Italy",Italy,1867,1936,Six Characters in Search of an Author,The Late Mattia Pascal
Domenico Starnone,"Saviano, Italy","Rome, Italy",Italy,1943,,Ties,Trick
Grazia Deledda,"Nuoro, Italy","Rome, Italy",Italy,1871,1936,Reeds in the Wind,After the Divorce
Antonio Tabucchi,"Pisa, Italy","Lisbon, Portugal",Italy,1943,2012,Pereira Maintains!,Indian Nocturne
Dacia Maraini,"Fiesole, Italy","Rome, Italy",Italy,1936,,The Silent Duchess,Voices
Italo Calvino,"Santiago de Las Vegas, Cuba","Rome, Italy",Italy,1923,1985,If on a winter's night a traveler,Invisible Cities
Umberto Eco,"Alessandria, Italy","Bologna, Italy",Italy,1932,2016,The Name of the Rose,Foucault's Pendulum
Italo Svevo,"Trieste, Austria-Hungary (now Italy)","Trieste, Italy",Italy,1861,1928,Confessions of Zeno,As a Man Grows Older
Andrea Camilleri,"Porto Empedocle, Italy","Rome, Italy",Italy,1925,2019,The Shape of Water,The Terracotta Dog
Natalia Ginzburg,"Palermo, Italy","Rome, Italy",Italy,1916,1991,Family Lexicon,Voices in the Evening
Pier Paolo Pasolini,"Bologna, Italy","Rome, Italy",Italy,1922,1975,The Ragazzi,Theorem
Cesare Pavese,"Santo Stefano Belbo, Italy","Turin, Italy",Italy,1908,1950,The Moon and the Bonfires,The Beautiful Summer
Elfriede Jelinek,"Mürzzuschlag, Austria","Vienna, Austria",Austria,1946,,The Piano Teacher,The Children of the Dead
Peter Handke,"Griffen, Austria","Chaville, France",Austria,1942,,The Goalie's Anxiety at the Penalty Kick,"Short Letter, Long Farewell"
Christoph Ransmayr,"Wels, Austria","Vienna, Austria",Austria,1954,,The Last World,The Dog King
Robert Seethaler,"Vienna, Austria","Berlin, Germany",Austria,1966,,A Whole Life,The Tobacconist
Robert Musil,"Klagenfurt, Austria","Geneva, Switzerland",Austria,1880,1942,The Man Without Qualities,Young Törless
Stefan Zweig,"Vienna, Austria","Petrópolis, Brazil",Austria,1881,1942,The Royal Game,Beware of Pity
Thomas Bernhard,"Heerlen, Netherlands","Ohlsdorf, Austria",Austria,1931,1989,Correction,The Loser
Milan Kundera,"Brno, Czechoslovakia (now Czech Republic)","Paris, France",Czechia,1929,,The Unbearable Lightness of Being,The Book of Laughter and Forgetting
Franz Kafka,"Prague, Austria-Hungary (now Czech Republic)","Prague, Czechoslovakia (now Czech Republic)",Czechia,1883,1924,The Trial,The Metamorphosis
Bohumil Hrabal,"Brno, Czechoslovakia (now Czech Republic)","Prague, Czechoslovakia (now Czech Republic)",Czechia,1914,1997,Closely Watched Trains,I Served the King of England
Josef Škvorecký,"Náchod, Czechoslovakia (now Czech Republic)","Toronto, Canada",Czechia,1924,2012,The Cowards,The Engineer of Human Souls
Arnošt Lustig,"Prague, Czechoslovakia (now Czech Republic)","Prague, Czech Republic",Czechia,1926,2011,A Prayer for Katerina Horowitz,Darkness Casts No Shadow
Elias Canetti,"Ruse, Bulgaria","Zurich, Switzerland",Austria,1905,1994,Auto-da-Fé,Crowds and Power
Max Frisch,"Zurich, Switzerland","Zurich, Switzerland",Switzerland,1911,1991,Homo Faber,I'm Not Stiller
Robert Walser,"Biel/Bienne, Switzerland","Herisau, Switzerland",Switzerland,1878,1956,Jakob von Gunten,Microscripts
Peter Stamm,"Weinfelden, Switzerland","Winterthur, Switzerland",Switzerland,1963,,Agnes,Seven Years
Joel Dicker,"Geneva, Switzerland","Geneva, Switzerland",Switzerland,1985,,The Truth About the Harry Quebert Affair,The Baltimore Boys
Giorgos Seferis,"Urla, Ottoman Empire (now Turkey)","Athens, Greece",Greece,1900,1971,Turning Point,Mythistorema
Nikos Karantzakis,"Heraklion, Crete, Greece","Antibes, France",Greece,1883,1957,Zorba the Greek,The Last Temptation of Christ 
Odysseas Elitis,"Heraklion, Crete, Greece","Athens, Greece",Greece,1911,1996,The Axion Esti,The Monogram
Atiq Rahimi,"Kabul, Afghanistan","Paris, France",Afghanistan,1962,,The Patience Stone,Earth and Ashes
Khaled Hosseini,"Kabul, Afghanistan","San Jose, USA",Afghanistan,1965,,The Kite Runner,A Thousand Splendid Suns
Jamil Jan Kochai,"Peshawar, Pakistan","Oakland, USA",Afghanistan,1992,,99 Nights in Logar,Wasteland
Taslima Nasreen,"Mymensingh, Bangladesh","New Delhi, India",Bangladesh,1962,,Lajja,Amar Meyebela
Tahmima Anam,"Dhaka, Bangladesh","London, UK",Bangladesh,1975,,A Golden Age,The Good Muslim
Gao Xingjian,"Ganzhou, Jiangxi, China","Paris, France",China,1940,,Soul Mountain,One Man's Bible
Can Xue,"Changsha, Hunan, China","Beijing, China",China,1953,,Five Spice Street,Love in the New Millennium
Ma Jian,"Qingdao, Shandong, China","London, UK",China,1953,,Beijing Coma,Stick Out Your Tongue
Mo Yan,"Gaomi, Shandong, China","Beijing, China",China,1955,,Red Sorghum,Big Breasts and Wide Hips
Yan Lianke,"Henan, China","Beijing, China",China,1958,,Lenin's Kisses,Serve the People!
Cixin Liu,"Yangquan, Shanxi, China","Beijing, China",China,1963,,The Three-Body Problem,The Dark Forest
Yiyun Li,"Beijing, China","Oakland, USA",China,1972,,The Vagrants,A Thousand Years of Good Prayers
An Yu,"Beijing, China","Beijing, China",China,,,Braised Pork,How the One-Armed Sister Sweeps Her House
Rabindranath Tagore,"Kolkata, India","Santiniketan, India",India,1861,1941,Gitanjali,The Home and the World
Mulk Raj Anand,"Peshawar, Pakistan","London, UK",India,1905,2004,Untouchable,Coolie
RK Narayan,"Chennai, India",,India,1906,2001,Swami and Friends,The Guide
Saadat Hasan Manto,"Samrala, British India (now India)","Lahore, Pakistan",India,1912,1955,Toba Tek Singh,Khol Do
Attia Hossain,"Lucknow, India","London, UK",India,1913,1998,Sunlight on a Broken Column,Phoenix Fled
Amrita Pritam,"Gujranwala, British India (now Pakistan)","New Delhi, India",India,1919,2005,Pinjar,Raseedi Ticket
Kamala Das,"Thrissur, Kerala, India","Pune, India",India,1934,2009,My Story,The Descendants
Anita Desai,"Mussoorie, India","New York City, USA",India,1937,,Clear Light of Day,"Fasting, Feasting"
Salman Rushdie,"Mumbai, India","London, UK",India,1947,,Midnight's Children,The Satanic Verses
Rohinton Mistry,"Mumbai, India","Toronto, Canada",India,1952,,A Fine Balance,Such a Long Journey
Vikram Seth,"Kolkata, India","London, UK",India,1952,,A Suitable Boy,An Equal Music
Amitav Ghosh,"Kolkata, India","New York City, USA",India,1956,,The Shadow Lines,Sea of Poppies
Shashi Tharoor,"London, UK","New Delhi, India",India,1956,,The Great Indian Novel,Riot: A Love Story
Geetanjali Shree,"Mainpuri, India","New Delhi, India",India,1957,,Mai,Tirobhumi
Jeet Thayil,"Mamalassery, Kerala, India","New Delhi, India",India,1959,,Narcopolis,The Book of Chocolate Saints
Arundhati Roy,"Shillong, India","New Delhi, India",India,1961,,The God of Small Things,The Ministry of Utmost Happiness
Vikram Chandra,"New Delhi, India","Mumbai, India",India,1961,,Sacred Games,Love and Longing in Bombay
Amit Chaudhuri,"Kolkata, India","Kolkata, India",India,1962,,A Strange and Sublime Address,Freedom Song
Suketu Mehta,"Kolkata, India","New York City, USA",India,1963,,Maximum City: Bombay Lost and Found,This Land Is Our Land
Jerry Pinto,"Mumbai, India",,India,1966,,Em and the Big Hoom,Murder in Mahim
Perumal Murugan,"Thiruchengode, Tamil Nadu, India","Chennai, India",India,1966,,One Part Woman,Seasons of the Palm
Jhumpa Lahiri,"London, UK","Rome, Italy",India,1967,,Interpreter of Maladies,The Namesake
Pankaj Mishra,"Jhansi, India","London, UK",India,1969,,The Romantics: A Novel,From the Ruins of Empire
Kiran Desai,"New Delhi, India","New York City, USA",India,1971,,The Inheritance of Loss,Hullabaloo in the Guava Orchard
Rana Dasgupta,"Canterbury, UK","New Delhi, India",India,1971,,Solo,Tokyo Cancelled
Aravind Adiga,"Chennai, India","Mumbai, India",India,1974,,The White Tiger,Between the Assassinations
Sonia Faleiro,"Goa, India","London, UK",India,1977,,Beautiful Thing: Inside the Secret World of Bombay's Dance Bars,13 Men
Avni Doshi,"New Jersey, USA","Dubai, UAE",India,1982,,Burnt Sugar,Girl in White Cotton
Annie Zaidi,"Allahabad, India","Mumbai, India",India,,,Prelude to a Riot,Gulab
Deepa Anappara,"Kerala, India","London, UK",India,,,Djinn Patrol on the Purple Line,Sacred Games (TV Tie-in Edition)
Prayaag Akbar,"Mumbai, India","New Delhi, India",India,,,Leila,Night of the Furies
Eka Kurniawan,"Tasikmalaya, Indonesia","Jakarta, Indonesia",Indonesia,1975,,Beauty Is a Wound,Man Tiger
Sadegh Hedayat,"Tehran, Iran","Paris, France",Iran,1903,1951,The Blind Owl,The Stray Dog
Azar Nafisi,"Tehran, Iran","Baltimore, USA",Iran,1948,,Reading Lolita in Tehran,The Republic of Imagination
Marjane Satrapi,"Rasht, Iran","Paris, France",Iran,1969,,Persepolis,Embroideries
Shokoofeh Azar,"Tehran, Iran","Melbourne, Australia",Iran,1972,,The Enlightenment of the Greengage Tree,The Execution of the Garden of Eden
Ahmed Saadawi,"Baghdad, Iraq.",,Iraq,1973,,Frankenstein in Baghdad,The Chameleon
Yasunari Kawabata,"Osaka, Japan","Kamakura, Japan",Japan,1899,1972,Snow Country,The Master of Go
Osamu Dazai,"Kanagi, Aomori, Japan","Tokyo, Japan",Japan,1909,1948,No Longer Human,The Setting Sun
Kobo Abe,"Tokyo, Japan",,Japan,1924,1993,Woman in the Dunes,The Box Man
Yukio Mishima,"Tokyo, Japan",,Japan,1925,1970,The Sailor Who Fell from Grace with the Sea,Confessions of a Mask
Kenzaburo Oe,"Ōse, Ehime, Japan","Tokyo, Japan",Japan,1935,,A Personal Matter,The Silent Cry
Haruki Murakami,"Kyoto, Japan","Tokyo, Japan",Japan,1949,,Norwegian Wood,Kafka on the Shore
Ryu Murakami,"Sasebo, Nagasaki, Japan","Tokyo, Japan",Japan,1952,,Coin Locker Babies,Audition
Yoko Ogawa,"Okayama, Japan","Ashiya, Japan",Japan,1962,,The Housekeeper and the Professor,The Memory Police
Banana Yoshimoto,"Tokyo, Japan",,Japan,1964,,Kitchen,N.P.
Yu Miri,"Yokohama, Japan",,Japan,1968,,Tokyo Ueno Station,Gold Rush
Sayaka Murata,"Inzai, Chiba, Japan","Tokyo, Japan",Japan,1979,,Convenience Store Woman,Earthlings
Hiroki Kawakami,"Tokyo, Japan",,Japan,,,Samurai,Chiisakobe
Tash Aw,"Taipei, Taiwan","London, UK",Malaysia,1971,,The Harmony Silk Factory,Five Star Billionaire
Tan Twan Eng,"Penang, Malaysia","Cape Town, South Africa",Malaysia,1972,,The Garden of Evening Mists,The Gift of Rain
Bapsi Sidhwa,"Karachi, British India (now Pakistan)","Lahore, Pakistan",Pakistan,1938,,Ice-Candy-Man,The Crow Eaters
Daniyal Mueenuddin,"Los Angeles, USA","Lahore, Pakistan",Pakistan,1963,,"In Other Rooms, Other Wonders",The Perfect Man
Mohammed Hanif,"Okara, Pakistan","Karachi, Pakistan",Pakistan,1964,,A Case of Exploding Mangoes,Our Lady of Alice Bhatti
Nadeem Aslam,"Gujranwala, Pakistan","Huddersfield, UK",Pakistan,1966,,The Wasted Vigil,Season of the Rainbirds
Mohsin Hamid,"Lahore, Pakistan","Lahore, Pakistan",Pakistan,1971,,The Reluctant Fundamentalist,Exit West
Kamila Shamsie,"Karachi, Pakistan","London, UK",Pakistan,1973,,Burnt Shadows,Home Fire
Fatima Bhutto,"Kabul, Afghanistan","Karachi, Pakistan",Pakistan,1982,,The Shadow of the Crescent Moon,The Runaways
Taymour Soomro,Unknown,"London, UK",Pakistan,,,N/A,N/A
Jose Rizal,"Calamba, Laguna, Philippines","Madrid, Spain",Phillippines,1861,1896,Noli Me Tángere,El Filibusterismo
Jessica Hagedorn,"Manila, Philippines","San Francisco, USA",Phillippines,1949,,Dogeaters,Toxicology
Sharlene Teo,Singapore,"London, UK",Singapore,,,Ponti,The Ocean of Mrs. Nagai
Han Kang,"Gwangju, South Korea","Gwangju, South Korea",South Korea,1970,,The Vegetarian,Human Acts
Baek Sehee,Unknown,"Seoul, South Korea",South Korea,,,"So Far, So Good",N/A
Cho Nam Joo,Unknown,"Seoul, South Korea",South Korea,,,"Kim Jiyoung, Born 1982",N/A
Frances Cha,Unknown,"New York, USA",South Korea,,,If I Had Your Face,N/A
Sang Young Park,Unknown,"Seoul, South Korea",South Korea,,,The Human Jungle,N/A
Romesh Gunasekara,"Colombo, Sri Lanka","London, UK",Sri Lanka,1954,,Reef,Suncatcher
Shehan Karunatilaka,"Galle, Sri Lanka","Colombo, Sri Lanka",Sri Lanka,1975,,Chinaman: The Legend of Pradeep Mathew,Chats with the Dead
Anuk Arudpragasam,"Colombo, Sri Lanka","Colombo, Sri Lanka",Sri Lanka,1988,,The Story of a Brief Marriage,N/A
Pitchaya Sudbanthad,"Bangkok, Thailand","Bangkok, Thailand",Thailand,Unknown,,Bangkok Wakes to Rain,N/A
Viet Thanh Nguyen,"Ban Mê Thuột, Vietnam","Los Angeles, USA",Vietnam,1971,,The Sympathizer,The Refugees
F. Scott Fitzgerald,"St. Paul, Minnesota","Princeton, New Jersey",USA,1896,1940,The Great Gatsby,Tender Is the Night
William Faulkner,"New Albany, Mississippi","Oxford, Mississippi",USA,1897,1962,The Sound and the Fury,As I Lay Dying
Louise Erdrich,"Little Falls, Minnesota","Minneapolis, Minnesota",USA,1954,,Love Medicine,The Round House
John Steinbeck,"Salinas, California","New York City, New York",USA,1902,1968,The Grapes of Wrath,Of Mice and Men
Kurt Vonnegut,"Indianapolis, Indiana","New York City, New York",USA,1922,2007,Slaughterhouse-Five,Cat's Cradle
Toni Morrison,"Lorain, Ohio","Princeton, New Jersey",USA,1931,2019,Beloved,Song of Solomon
Ernest Hemingway,"Oak Park, Illinois","Key West, Florida",USA,1899,1961,The Old Man and the Sea,A Farewell to Arms
J.D. Salinger,"New York City, New York","Cornish, New Hampshire",USA,1919,2010,The Catcher in the Rye,Franny and Zooey
James Baldwin,"New York City, New York","Saint-Paul de Vence, France",USA,1924,1987,Go Tell It on the Mountain,Giovanni's Room
Sinclair Lewis,"Sauk Centre, Minnesota","New York City, New York",USA,1885,1951,Main Street,Babbitt
Saul Bellow,"Lachine, Quebec, Canada","Boston, Massachusetts",USA,1915,2005,The Adventures of Augie March,Herzog
Louise Glück,"New York City, New York","Cambridge, Massachusetts",USA,1943,,The Wild Iris,Meadowlands
Marilynne Robinson,"Sandpoint, Idaho","Iowa City, Iowa",USA,1943,,Gilead,Housekeeping
Philip Roth,"Newark, New Jersey","New York City, New York",USA,1933,2018,American Pastoral,Portnoy's Complaint
John Updike,"Reading, Pennsylvania","Beverly Farms, Massachusetts",USA,1932,2009,"Rabbit, Run",The Witches of Eastwick
Don DeLillo,"New York City, New York","Bronxville, New York",USA,1936,,White Noise,Underworld
Henry James,"New York City, New York","Rye, Sussex, England",USA,1843,1916,The Portrait of a Lady,The Turn of the Screw
Raymond Chandler,"Chicago, Illinois","La Jolla, California",USA,1888,1959,The Big Sleep,"Farewell, My Lovely"
Ray Bradbury,"Waukegan, Illinois","Los Angeles, California",USA,1920,2012,Fahrenheit 451,The Martian Chronicles
Arthur Miller,"New York City, New York","Roxbury, Connecticut",USA,1915,2005,Death of a Salesman,The Crucible
Cormac McCarthy,"Providence, Rhode Island","Santa Fe, New Mexico",USA,1933,,Blood Meridian,The Road
Edith Wharton,"New York City, New York","Paris, France",USA,1862,1937,The Age of Innocence,The House of Mirth
Willa Cather,"Back Creek Valley, Virginia","New York City, New York",USA,1873,1947,My Ántonia,O Pioneers!
Pearl Buck,"Hillsboro, West Virginia","Danby, Vermont",USA,1892,1973,The Good Earth,Dragon Seed
Margaret Mitchell,"Atlanta, Georgia","Atlanta, Georgia",USA,1900,1949,Gone with the Wind,
James Michener,"New York City, New York","Austin, Texas",USA,1907,1997,Tales of the South Pacific,Centennial
Harper Lee,"Monroeville, Alabama","Monroeville, Alabama",USA,1926,2016,To Kill a Mockingbird,
Bernard Malamud,"Brooklyn, New York","Bennington, Vermont",USA,1914,1986,The Natural,The Fixer
N. Scott Momaday,"Lawton, Oklahoma","Santa Fe, New Mexico",USA,1934,,House Made of Dawn,The Way to Rainy Mountain
Wallace Stegner,"Lake Mills, Iowa","Los Altos Hills, California",USA,1909,1993,Angle of Repose,Crossing to Safety
Eudora Welty,"Jackson, Mississippi","Jackson, Mississippi",USA,1909,2001,The Optimist's Daughter,The Robber Bridegroom
Carson McCullers,"Columbus, Georgia","Nyack, New York",USA,1917,1967,The Heart Is a Lonely Hunter,The Member of the Wedding
John Cheever,"Quincy, Massachusetts","Ossining, New York",USA,1912,1982,The Stories of John Cheever,Bullet Park
Norman Mailer,"Long Branch, New Jersey","Provincetown, Massachusetts",USA,1923,2007,The Naked and the Dead,The Executioner's Song
John Kennedy Toole,"New Orleans, Louisiana","New Orleans, Louisiana",USA,1937,1969,A Confederacy of Dunces,
Alice Walker,"Eatonton, Georgia","Berkeley, California",USA,1944,,The Color Purple,Meridian
Raymond Carver,"Clatskanie, Oregon","Port Angeles, Washington",USA,1938,1988,What We Talk About When We Talk About Love,Cathedral
Anne Tyler,"Minneapolis, Minnesota","Baltimore, Maryland",USA,1941,,The Accidental Tourist,Breathing Lessons
Robert Pirsig,"Minneapolis, Minnesota","South Berwick, Maine",USA,1928,2017,Zen and the Art of Motorcycle Maintenance,Lila's Child
Jane Smiley,"Los Angeles, California","Carmel Valley, California",USA,1949,,A Thousand Acres,Horse Heaven
Annie Proulx,"Norwich, Connecticut","Port Townsend, Washington",USA,1935,,The Shipping News,Brokeback Mountain
Ursula K. Le Guin,"Berkeley, California","Portland, Oregon",USA,1929,2018,The Left Hand of Darkness,A Wizard of Earthsea
Joyce Carol Oates,"Lockport, New York","Princeton, New Jersey",USA,1938,,Them,We Were the Mulvaneys
Michael Cunningham,"Cincinnati, Ohio","New York City, New York",USA,1952,,The Hours,A Home at the End of the World
Barbara Kingsolver,"Annapolis, Maryland","Tucson, Arizona",USA,1955,,The Poisonwood Bible,"Animal, Vegetable, Miracle"
John Dos Passos,"Chicago, Illinois","Baltimore, Maryland",USA,1896,1970,U.S.A.,Manhattan Transfer
Michael Chabon,"Washington, D.C.","Berkeley, California",USA,1963,,The Amazing Adventures of Kavalier & Clay,The Yiddish Policemen's Union
Colson Whitehead,"New York City, New York","New York City, New York",USA,1969,,The Underground Railroad,The Nickel Boys
Jeffrey Eugenides,"Detroit, Michigan","Detroit, Michigan",USA,1960,,Middlesex,The Virgin Suicides
Jonathan Franzen,"Western Springs, Illinois","New York City, New York",USA,1959,,The Corrections,Freedom
Elizabeth Strout,"Portland, Maine","New York City, New York",USA,1956,,Olive Kitteridge,My Name Is Lucy Barton
